state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,year_2
Tennessee,Sumner,1995,214,87,73,37,16,1,0,203,143,64,0,0,214,0,0,1995
Tennessee,Williamson,1995,214,102,71,35,6,0,0,200,115,51,0,0,214,0,0,1995
Tennessee,Wilson,1995,213,112,79,17,5,0,0,179,101,50,0,0,213,0,0,1995
Texas,El Paso,1995,365,121,221,18,5,0,0,200,93,59,53,153,140,0,19,1995
Texas,Harris,1995,365,166,100,33,31,35,0,254,200,54,4,164,189,0,8,1995
Utah,Iron,1995,57,57,0,0,0,0,0,43,25,17,0,0,0,0,57,1995
Virgin Islands,St Thomas,1995,2,2,0,0,0,0,0,47,47,47,0,0,0,0,2,1995
Virginia,Bristol City,1995,58,56,2,0,0,0,0,55,37,22,0,0,0,0,58,1995
Virginia,Henry,1995,213,126,67,19,1,0,0,169,100,47,0,0,213,0,0,1995
Virginia,Martinsville City,1995,59,56,3,0,0,0,0,57,35,18,0,0,0,0,59,1995
Virginia,Rockbridge,1995,98,23,73,2,0,0,0,139,82,60,0,0,0,98,0,1995
Virginia,Smyth,1995,60,58,2,0,0,0,0,57,33,19,0,0,0,0,60,1995
Virginia,Wythe,1995,211,111,83,16,1,0,0,161,100,50,0,0,211,0,0,1995
Washington,Clallam,1995,353,351,2,0,0,0,0,80,36,25,0,0,334,0,19,1995
Washington,King,1995,365,287,71,7,0,0,0,143,62,40,207,50,83,0,25,1995
Washington,Kittitas,1995,102,97,5,0,0,0,0,57,36,16,0,0,0,93,9,1995
West Virginia,Greenbrier,1995,363,243,91,26,3,0,0,172,93,37,0,152,211,0,0,1995
Wisconsin,Walworth,1995,175,115,38,18,4,0,0,177,105,44,0,0,175,0,0,1995
Wyoming,Albany,1995,358,249,109,0,0,0,0,93,67,47,0,0,349,2,7,1995
Wyoming,Platte,1995,59,57,2,0,0,0,0,61,28,10,0,0,0,0,59,1995
Alabama,Jefferson,1996,366,246,86,19,11,4,0,217,97,43,78,0,206,0,82,1996
Arizona,Gila,1996,143,129,14,0,0,0,0,61,50,29,0,0,0,87,56,1996
Arizona,Maricopa,1996,366,58,221,71,15,1,0,201,122,76,76,88,194,0,8,1996
Arizona,Yavapai,1996,187,71,79,35,2,0,0,169,119,67,0,0,150,0,37,1996
Arkansas,Arkansas,1996,56,51,5,0,0,0,0,68,41,21,0,0,0,0,56,1996
Arkansas,Pulaski,1996,366,286,65,14,1,0,0,154,67,40,44,50,266,0,6,1996
California,Butte,1996,366,269,83,14,0,0,0,147,84,38,30,103,227,0,6,1996
California,Contra Costa,1996,366,285,59,17,5,0,0,187,74,40,1,144,219,0,2,1996
California,Fresno,1996,366,152,79,61,59,15,0,219,177,61,25,104,225,0,12,1996
California,Imperial,1996,366,99,161,70,30,6,0,245,150,74,46,53,238,0,29,1996
California,Kern,1996,366,128,92,42,61,43,0,234,202,74,2,92,250,0,22,1996
California,Kings,1996,364,158,65,64,66,11,0,217,179,67,0,48,301,0,15,1996
California,Los Angeles,1996,366,42,154,91,47,32,0,247,192,96,42,159,163,0,2,1996
California,Madera,1996,273,134,66,48,23,2,0,206,150,54,0,0,265,0,8,1996
California,Mariposa,1996,364,209,57,71,25,2,0,202,143,45,0,0,361,2,1,1996
California,Mendocino,1996,237,236,1,0,0,0,0,51,36,28,8,63,122,0,44,1996
California,Merced,1996,363,197,66,58,41,1,0,212,154,46,0,70,288,0,5,1996
California,Monterey,1996,366,313,42,11,0,0,0,136,64,39,0,46,319,0,1,1996
California,Nevada,1996,366,198,74,67,27,0,0,197,140,48,0,0,354,0,12,1996
California,Orange,1996,366,165,145,48,8,0,0,195,105,53,7,211,148,0,0,1996
California,Placer,1996,366,220,73,50,20,3,0,205,136,44,1,114,243,0,8,1996
California,Riverside,1996,366,88,126,65,47,40,0,260,203,87,12,105,220,0,29,1996
California,Sacramento,1996,366,194,101,45,21,5,0,222,140,49,43,82,222,0,19,1996
California,San Diego,1996,366,117,156,64,27,2,0,213,143,68,5,120,238,0,3,1996
California,San Luis Obispo,1996,366,258,67,33,7,1,0,213,105,43,1,48,305,0,12,1996
California,Santa Barbara,1996,366,153,153,44,15,1,0,218,119,54,15,29,316,0,6,1996
California,Santa Cruz,1996,366,324,36,4,2,0,0,156,54,36,0,11,341,0,14,1996
California,Sutter,1996,366,221,68,51,26,0,0,192,140,45,10,81,270,0,5,1996
California,Tulare,1996,366,163,75,55,69,4,0,206,166,58,4,79,262,15,6,1996
California,Ventura,1996,366,134,104,66,45,17,0,223,179,67,0,76,290,0,0,1996
Colorado,Denver,1996,366,145,214,7,0,0,0,126,79,55,27,261,77,0,1,1996
Colorado,Pueblo,1996,52,51,1,0,0,0,0,53,39,21,0,0,0,0,52,1996
Colorado,Teller,1996,316,253,59,4,0,0,0,141,58,28,0,0,0,0,316,1996
Connecticut,New Haven,1996,366,268,77,13,7,1,0,202,76,43,1,207,122,0,36,1996
Country Of Mexico,BAJA CALIFORNIA NORTE,1996,366,196,123,43,3,1,0,278,102,48,56,113,150,0,47,1996
Country Of Mexico,SONORA,1996,55,26,29,0,0,0,0,95,84,52,0,0,0,0,55,1996
Delaware,New Castle,1996,366,265,73,23,4,1,0,203,87,41,4,155,188,0,19,1996
Florida,Miami-Dade,1996,366,270,88,7,1,0,0,182,64,42,2,80,216,58,10,1996
Florida,Osceola,1996,363,318,38,7,0,0,0,143,54,36,0,0,363,0,0,1996
Florida,St. Johns,1996,354,310,41,2,1,0,0,154,61,35,0,0,354,0,0,1996
Georgia,Bibb,1996,17,17,0,0,0,0,0,37,31,20,0,0,0,0,17,1996
Georgia,DeKalb,1996,366,247,76,23,17,3,0,215,108,43,4,180,181,0,1,1996
Georgia,Douglas,1996,59,58,1,0,0,0,0,52,32,20,0,0,0,0,59,1996
Georgia,Elbert,1996,47,46,1,0,0,0,0,52,33,22,0,0,0,0,47,1996
Georgia,Fulton,1996,366,181,142,22,17,4,0,210,105,51,7,208,148,0,3,1996
Georgia,Gwinnett,1996,215,124,59,23,8,1,0,203,112,48,0,0,215,0,0,1996
Georgia,Muscogee,1996,260,179,61,18,2,0,0,156,97,45,0,0,244,0,16,1996
Idaho,Bannock,1996,364,318,45,1,0,0,0,119,51,36,0,171,0,0,193,1996
Idaho,Canyon,1996,57,49,8,0,0,0,0,89,55,31,0,0,0,0,57,1996
Idaho,Power,1996,84,22,40,16,4,1,1,319,137,68,0,0,0,0,84,1996
Idaho,Shoshone,1996,120,110,10,0,0,0,0,77,50,25,0,0,0,0,120,1996
Illinois,Cook,1996,366,169,169,21,4,3,0,215,83,51,4,273,58,0,31,1996
Illinois,Madison,1996,366,226,105,23,11,1,0,202,100,44,6,0,215,0,145,1996
Illinois,Tazewell,1996,60,59,1,0,0,0,0,53,34,20,0,0,0,0,60,1996
Indiana,Clark,1996,207,145,46,14,2,0,0,172,93,42,0,0,174,0,33,1996
Indiana,Floyd,1996,214,114,62,25,11,2,0,208,136,49,0,0,214,0,0,1996
Indiana,Hamilton,1996,181,97,49,25,9,1,0,205,126,49,0,0,181,0,0,1996
Indiana,Hancock,1996,181,92,50,29,9,1,0,204,129,50,0,0,181,0,0,1996
Indiana,Lake,1996,366,238,104,17,6,1,0,204,84,43,9,174,127,0,56,1996
Indiana,Marion,1996,366,258,69,29,9,1,0,221,101,41,28,149,162,0,27,1996
Indiana,Posey,1996,80,77,3,0,0,0,0,71,48,37,0,0,80,0,0,1996
Indiana,Warrick,1996,183,73,65,31,14,0,0,195,143,64,0,0,183,0,0,1996
Iowa,Black Hawk,1996,57,55,2,0,0,0,0,69,44,26,0,0,0,0,57,1996
Kansas,Kearny,1996,30,26,4,0,0,0,0,72,57,23,0,0,0,0,30,1996
Kentucky,Bell,1996,366,318,40,7,1,0,0,151,58,32,145,0,206,0,15,1996
Kentucky,Bullitt,1996,364,286,58,18,2,0,0,169,84,35,0,190,173,0,1,1996
Kentucky,Daviess,1996,366,291,53,18,4,0,0,177,80,34,1,134,189,0,42,1996
Kentucky,Jefferson,1996,366,263,68,26,8,1,0,202,97,42,49,147,162,0,8,1996
Kentucky,Lawrence,1996,219,194,24,1,0,0,0,108,51,36,0,0,189,0,30,1996
Kentucky,Oldham,1996,205,142,41,18,4,0,0,197,101,44,0,0,205,0,0,1996
Kentucky,Pike,1996,234,179,45,10,0,0,0,129,77,41,0,0,211,0,23,1996
Louisiana,St. Bernard,1996,358,283,59,12,4,0,0,159,74,35,0,0,358,0,0,1996
Maryland,Anne Arundel,1996,364,256,54,39,14,1,0,204,122,37,0,0,350,0,14,1996
Maryland,Baltimore (City),1996,366,270,71,19,6,0,0,174,90,42,17,237,98,0,14,1996
Maryland,Dorchester,1996,212,131,45,27,9,0,0,190,115,44,0,0,212,0,0,1996
Michigan,Allegan,1996,268,211,32,17,6,2,0,221,100,38,0,91,177,0,0,1996
Michigan,Clinton,1996,183,156,25,2,0,0,0,108,67,38,0,0,183,0,0,1996
Michigan,Monroe,1996,55,54,1,0,0,0,0,51,34,19,0,0,0,0,55,1996
Michigan,Muskegon,1996,181,133,30,13,4,1,0,225,100,42,0,0,181,0,0,1996
Michigan,Wayne,1996,366,216,124,20,6,0,0,169,83,46,9,180,77,0,100,1996
Minnesota,Pipestone,1996,16,16,0,0,0,0,0,34,19,8,0,0,0,0,16,1996
Minnesota,Sherburne,1996,61,60,1,0,0,0,0,56,19,9,0,0,0,0,61,1996
Mississippi,Choctaw,1996,76,76,0,0,0,0,0,45,36,29,0,3,72,0,1,1996
Missouri,Buchanan,1996,216,197,18,1,0,0,0,106,48,25,0,0,0,0,216,1996
Missouri,Saint Louis,1996,366,268,63,29,5,1,0,203,97,42,9,213,143,0,1,1996
Missouri,St. Louis City,1996,366,251,88,20,7,0,0,179,90,42,14,218,117,0,17,1996
Montana,Park,1996,91,90,1,0,0,0,0,76,23,11,0,0,0,0,91,1996
Nebraska,Buffalo,1996,51,47,4,0,0,0,0,62,49,23,0,0,0,0,51,1996
Nebraska,Douglas,1996,366,313,52,0,1,0,0,168,54,34,97,0,168,0,101,1996
New Jersey,Hudson,1996,365,228,119,13,5,0,0,179,77,45,61,197,90,0,17,1996
New Mexico,Bernalillo,1996,366,136,216,14,0,0,0,147,87,56,24,99,180,0,63,1996
New Mexico,Dona Ana,1996,366,86,215,50,8,2,5,1512,122,63,0,2,174,0,190,1996
New York,Greene,1996,58,58,0,0,0,0,0,49,24,13,0,0,0,0,58,1996
New York,Rockland,1996,58,57,1,0,0,0,0,58,31,18,0,0,0,0,58,1996
North Carolina,Avery,1996,212,143,58,11,0,0,0,143,84,45,0,0,212,0,0,1996
North Carolina,Caswell,1996,174,66,67,35,6,0,0,187,126,64,5,0,169,0,0,1996
North Carolina,Catawba,1996,57,56,1,0,0,0,0,51,34,22,0,0,0,0,57,1996
North Carolina,Davidson,1996,61,61,0,0,0,0,0,46,38,23,0,0,0,0,61,1996
North Carolina,Davie,1996,195,85,80,29,1,0,0,177,115,54,0,0,195,0,0,1996
North Carolina,Franklin,1996,214,103,79,29,3,0,0,177,108,51,3,0,211,0,0,1996
North Carolina,Granville,1996,234,105,80,38,11,0,0,192,126,61,1,0,213,0,20,1996
North Carolina,Halifax,1996,47,46,1,0,0,0,0,51,33,21,0,0,0,0,47,1996
North Carolina,Haywood,1996,247,103,109,30,5,0,0,169,108,61,0,0,184,37,26,1996
North Carolina,Mecklenburg,1996,366,237,76,37,15,1,0,220,119,43,66,96,197,0,7,1996
North Carolina,Rockingham,1996,210,101,79,25,4,1,0,202,112,54,0,0,210,0,0,1996
North Carolina,Rowan,1996,227,105,57,51,12,2,0,205,136,58,0,1,199,0,27,1996
North Carolina,Yancey,1996,124,45,61,18,0,0,0,143,108,64,0,0,124,0,0,1996
Ohio,Butler,1996,366,259,65,27,14,1,0,203,105,39,0,0,345,0,21,1996
Ohio,Cuyahoga,1996,366,211,128,15,11,1,0,209,90,47,16,120,109,0,121,1996
Ohio,Franklin,1996,366,276,47,32,10,1,0,208,108,32,76,0,205,0,85,1996
Ohio,Hamilton,1996,366,214,109,34,9,0,0,187,105,47,0,242,102,0,22,1996
Ohio,Jefferson,1996,366,274,79,12,1,0,0,164,71,40,4,132,157,0,73,1996
Ohio,Medina,1996,211,133,52,20,6,0,0,169,105,44,0,0,211,0,0,1996
Ohio,Scioto,1996,262,258,4,0,0,0,0,60,38,22,0,0,0,0,262,1996
Oklahoma,Muskogee,1996,363,356,7,0,0,0,0,73,33,19,0,320,0,0,43,1996
Oklahoma,Oklahoma,1996,366,244,102,19,1,0,0,169,87,44,25,69,266,0,6,1996
Oregon,Deschutes,1996,219,194,24,1,0,0,0,101,52,27,79,0,0,0,140,1996
Pennsylvania,Allegheny,1996,366,181,141,34,9,1,0,207,108,51,3,143,116,0,104,1996
Pennsylvania,Franklin,1996,116,65,37,11,3,0,0,177,105,48,0,0,116,0,0,1996
Pennsylvania,Philadelphia,1996,366,166,145,38,12,4,1,333,122,57,10,212,106,0,38,1996
South Carolina,Cherokee,1996,235,137,79,17,2,0,0,166,93,48,0,0,235,0,0,1996
South Carolina,Greenville,1996,366,323,43,0,0,0,0,68,51,35,13,127,0,0,226,1996
Tennessee,Anderson,1996,213,97,79,35,2,0,0,174,112,51,0,0,213,0,0,1996
Tennessee,Giles,1996,212,99,87,24,2,0,0,197,105,51,0,0,206,0,6,1996
Tennessee,Jefferson,1996,213,72,78,48,14,1,0,207,140,74,0,0,213,0,0,1996
Tennessee,Knox,1996,366,240,74,40,10,2,0,206,119,39,139,0,201,0,26,1996
Tennessee,Loudon,1996,366,238,90,30,8,0,0,174,101,44,0,114,250,0,2,1996
Tennessee,Putnam,1996,66,64,2,0,0,0,0,54,42,31,0,7,50,0,9,1996
Tennessee,Sevier,1996,309,133,103,60,13,0,0,172,126,61,0,0,309,0,0,1996
Tennessee,Shelby,1996,366,223,99,31,13,0,0,190,108,45,71,119,166,0,10,1996
Tennessee,Sumner,1996,214,102,63,33,15,1,0,202,143,51,0,0,214,0,0,1996
Tennessee,Williamson,1996,213,103,76,27,7,0,0,172,112,51,0,0,213,0,0,1996
Tennessee,Wilson,1996,210,95,80,27,8,0,0,179,115,58,0,0,210,0,0,1996
Texas,El Paso,1996,366,128,198,37,2,0,1,424,101,58,46,183,115,0,22,1996
Texas,Harris,1996,366,196,112,27,18,13,0,261,133,49,5,153,195,0,13,1996
Utah,Iron,1996,57,57,0,0,0,0,0,41,27,15,0,0,0,0,57,1996
Virgin Islands,St Thomas,1996,35,34,1,0,0,0,0,81,38,17,0,0,0,0,35,1996
Virginia,Bristol City,1996,61,60,1,0,0,0,0,55,34,20,0,0,0,0,61,1996
Virginia,Henry,1996,208,130,64,10,4,0,0,159,93,46,0,0,208,0,0,1996
Virginia,Martinsville City,1996,59,59,0,0,0,0,0,47,31,18,0,0,0,0,59,1996
Virginia,Rockbridge,1996,98,25,70,3,0,0,0,115,80,59,0,0,0,98,0,1996
Virginia,Smyth,1996,61,60,1,0,0,0,0,63,31,18,0,0,0,0,61,1996
Virginia,Wythe,1996,212,115,85,12,0,0,0,126,90,49,0,0,212,0,0,1996
Washington,Clallam,1996,359,359,0,0,0,0,0,46,35,25,0,0,337,0,22,1996
Washington,King,1996,366,278,73,9,6,0,0,187,68,41,169,52,94,33,18,1996
Washington,Kittitas,1996,140,131,9,0,0,0,0,78,44,19,0,0,0,74,66,1996
West Virginia,Greenbrier,1996,357,268,70,17,2,0,0,154,84,34,0,149,208,0,0,1996
Wisconsin,Walworth,1996,175,129,34,10,2,0,0,169,90,44,0,0,175,0,0,1996
Wyoming,Albany,1996,361,206,147,8,0,0,0,115,80,49,0,0,359,0,2,1996
Wyoming,Platte,1996,40,38,2,0,0,0,0,64,28,11,0,0,0,0,40,1996
